transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes
36248,L1157,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Sainte-Rose,QC_SRO_DSS,Boulevard-Labelle,QC_BLL_DSS,NULL
36249,L1157,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,7.980,4.926,15.960,9.852,120,6.71,107,118,Duvernay,QC_DUV_TSS,Sainte-Rose,QC_SRO_DSS,NULL
36250,L1159,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,23.625,14.583,37.800,23.333,120,15.90,107,118,Kingsey,QC_KSY_TSS,Arthabaska,QC_ART_DSS,NULL
36251,L1159,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.125,8.102,37.800,23.333,120,15.90,107,118,Arthabaska,QC_ART_DSS,Bois-Francs,QC_BSF_DSS,NULL
36252,L1159,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,37.800,23.333,120,15.90,107,118,Rosiers,QC_RSR_DSS,Kingsey,QC_KSY_TSS,Line name assumed
36253,L1160,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,26.250,16.204,26.250,16.204,120,11.04,107,118,Chambly,QC_CHY_DSS,Saint-CÃƒÂ©saire,QC_SCS_DSS,NULL
36254,L1161,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,10.500,6.481,15.750,9.722,120,6.63,107,118,Varennes,QC_VRN_DSS,IREQ,QC_IRQ_ISS,NULL
36255,L1161,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,15.750,9.722,120,6.63,107,118,Institute-de-Recherche,QC_IDR_ISS,Pierre Boucher,QC_PBO_DSS,NULL
36256,L1162,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,25.725,15.880,120,10.82,107,118,Praxair Canada Contrecoeur,QC_PRX_ISS,Argonal Inc,QC_ARG_ISS,NULL
36257,L1162,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,25.725,15.880,120,10.82,107,118,Argonal Inc,QC_ARG_ISS,Contrecoeur,QC_CTC_DSS,NULL
36258,L1162,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.375,11.343,25.725,15.880,120,10.82,107,118,Varennes,QC_VRN_DSS,Praxair Canada Contrecoeur,QC_PRX_ISS,NULL
36259,L1162,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.050,0.648,25.725,15.880,120,10.82,107,118,Basell Canada Inc,QC_BAS_ISS,Varennes,QC_VRN_DSS,Line name assumed
36260,L1163,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,10.500,6.481,15.750,9.722,120,6.63,107,118,Varennes,QC_VRN_DSS,IREQ,QC_IRQ_ISS,NULL
36261,L1163,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,5.250,3.241,15.750,9.722,120,6.63,107,118,Institute-de-Recherche,QC_IDR_ISS,Pierre Boucher,QC_PBO_DSS,NULL
36262,L1164,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,23.625,14.583,37.800,23.333,120,15.90,107,118,Kingsey,QC_KSY_TSS,Arthabaska,QC_ART_DSS,NULL
